Time (s),Ax (m/s²),Fᵧ (N)
0.004999999888241291,0.031321931630373,-0.026696354150772095
0.009999999776482582,0.060601476579904556,-0.023207275196909904
0.014999999664723873,0.07879465073347092,-0.02695957012474537
0.019999999552965164,0.028526606038212776,-0.027493450790643692
0.02500000037252903,0.058737922459840775,-0.023208115249872208
0.029999999329447746,0.1235198900103569,-0.03286167234182358
0.03500000014901161,0.22423115372657776,-0.050547827035188675
0.03999999910593033,-0.051361024379730225,-0.0601896271109581
0.04500000178813934,-0.09068328887224197,-0.06447597593069077
0.05000000074505806,-0.09793435037136078,-0.06715915352106094
0.054999999701976776,0.14378675818443298,-0.07305505126714706
0.05999999865889549,0.20898014307022095,-0.08109250664710999
0.06499999761581421,0.08027363568544388,-0.08431076258420944
0.07000000029802322,0.10480525344610214,-0.09074254333972931
0.07500000298023224,0.33219975233078003,-0.09878454357385635
0.07999999821186066,0.36099427938461304,-0.10682166367769241
0.08500000089406967,-0.5014609694480896,-0.11486685276031494
0.09000000357627869,0.195881187915802,-0.1229039803147316
0.0949999988079071,-0.13880440592765808,-0.13200920820236206
0.10000000149011612,0.3324577510356903,-0.13522526621818542
0.10499999672174454,0.24611832201480865,-0.1395166516304016
0.10999999940395355,-0.4980959892272949,-0.1480994075536728
0.11500000208616257,0.24516262114048004,-0.15828317403793335
0.11999999731779099,0.8121283650398254,-0.16899473965168
0.125,-0.7148552536964417,-0.17381465435028076
0.12999999523162842,-0.13586926460266113,-0.18026793003082275
0.13500000536441803,0.60322505235672,-0.197954922914505
0.14000000059604645,-0.14578868448734283,-0.21080471575260162
0.14499999582767487,0.008762052282691002,-0.21723683178424835
0.15000000596046448,-0.16157551109790802,-0.22742527723312378
0.1550000011920929,-0.02520577237010002,-0.23867559432983398
0.1599999964237213,0.2909318804740906,-0.24671544134616852
0.16500000655651093,-0.002670933725312352,-0.2536834478378296
0.17000000178813934,0.014764883555471897,-0.26225346326828003
0.17499999701976776,-0.274335116147995,-0.2697570323944092
0.18000000715255737,0.8406648635864258,-0.27780860662460327
0.1850000023841858,-0.20785550773143768,-0.28692057728767395
0.1899999976158142,-0.10271430015563965,-0.29655566811561584
0.19499999284744263,-0.28200605511665344,-0.30514413118362427
0.20000000298023224,0.21490640938282013,-0.3180274963378906
0.20499999821186066,0.16160568594932556,-0.33571481704711914
0.20999999344348907,0.5563709735870361,-0.3490796685218811
0.2150000035762787,-0.23912928998470306,-0.35606181621551514
0.2199999988079071,-0.4602721929550171,-0.3678606450557709
