Time (s),Ay (m/s²),Fᵧ (N)
0.004999999888241291,-3.8489139080047607,0.9204415082931519
0.009999999776482582,-3.8214352130889893,0.9294919967651367
0.014999999664723873,-3.7726919651031494,0.942529022693634
0.019999999552965164,-3.7272229194641113,0.9564651250839233
0.02500000037252903,-3.6851375102996826,0.9686030149459839
0.029999999329447746,-3.627969980239868,0.9766950011253357
0.03500000014901161,-3.6365184783935547,0.982089638710022
0.03999999910593033,-3.5960984230041504,0.9865851402282715
0.04500000178813934,-3.635352611541748,0.991979718208313
0.05000000074505806,-3.6490602493286133,0.9946770071983337
0.054999999701976776,-3.6998398303985596,0.9946770071983337
0.05999999865889549,-3.7498908042907715,0.9897319674491882
0.06499999761581421,-3.7592432498931885,0.982988715171814
0.07000000029802322,-3.8290975093841553,0.9762454032897949
0.07500000298023224,-3.8704771995544434,0.9699516892433167
0.07999999821186066,-3.9460628032684326,0.9591624736785889
0.08500000089406967,-4.045979022979736,0.9465749859809875
0.09000000357627869,-4.211963653564453,0.9330885410308838
0.0949999988079071,-4.6780548095703125,0.9200514554977417
0.10000000149011612,-4.3779215812683105,0.9056658148765564
0.10499999672174454,-4.4740705490112305,0.8863351345062256
0.10999999940395355,-4.540469646453857,0.8620593547821045
0.11500000208616257,-4.690184116363525,0.8391322493553162
0.11999999731779099,-4.813352584838867,0.8157555460929871
0.125,-4.9342546463012695,0.7928284406661987
0.12999999523162842,-5.105698108673096,0.7658553719520569
0.13500000536441803,-5.303842067718506,0.7352858781814575
0.14000000059604645,-5.476271629333496,0.7065145969390869
0.14499999582767487,-5.499384880065918,0.6799910664558411
0.15000000596046448,-5.70003080368042,0.6485224366188049
0.1550000011920929,-5.999627590179443,0.614356517791748
0.1599999964237213,-6.21581506729126,0.5806401968002319
0.16500000655651093,-6.394414901733398,0.546923816204071
0.17000000178813934,-6.5508575439453125,0.5100606083869934
0.17499999701976776,-6.826958179473877,0.4731973707675934
0.18000000715255737,-6.999638557434082,0.43678370118141174
0.1850000023841858,-7.203353404998779,0.39767274260520935
0.1899999976158142,-7.38014030456543,0.35496535897254944
0.19499999284744263,-7.611647605895996,0.31135889887809753
0.20000000298023224,-7.802709579467773,0.27224791049957275
0.20499999821186066,-8.056350708007812,0.2317882627248764
0.20999999344348907,-8.313436508178711,0.18683312833309174
0.2150000035762787,-8.485507011413574,0.14142844080924988
0.2199999988079071,-8.719745635986328,0.09872107952833176
0.22499999403953552,-9.018699645996094,0.057811908423900604
0.23000000417232513,-9.237789154052734,0.013755877502262592
0.23499999940395355,-9.374780654907227,-0.029850604012608528
0.23999999463558197,-9.477394104003906,-0.06986067444086075
0.24500000476837158,-9.849056243896484,-0.11616446077823639
