Time (s),Ay (m/s²),Fᵧ (N)
0.004999999888241291,-4.443347930908203,1.2200398445129395
0.009999999776482582,-4.135004043579102,1.2534126043319702
0.014999999664723873,-4.577726364135742,1.3019641637802124
0.019999999552965164,-3.6536061763763428,1.3559104204177856
0.02500000037252903,-3.3078126907348633,1.4112051725387573
0.029999999329447746,-2.637739658355713,1.4669495820999146
0.03500000014901161,-3.6583049297332764,1.5195471048355103
0.03999999910593033,-2.9649930000305176,1.56944739818573
0.04500000178813934,-2.73520565032959,1.615751028060913
0.05000000074505806,-2.5527002811431885,1.6611558198928833
0.054999999701976776,-2.084024667739868,1.706560492515564
0.05999999865889549,-1.5796222686767578,1.7488183975219727
0.06499999761581421,-2.226595163345337,1.7865808010101318
0.07000000029802322,-1.3947091102600098,1.8243430852890015
0.07500000298023224,-1.4482008218765259,1.8666009902954102
0.07999999821186066,-1.1373728513717651,1.9034641981124878
0.08500000089406967,-1.2510740756988525,1.936281442642212
0.09000000357627869,-0.6810081005096436,1.967300534248352
0.0949999988079071,-0.2952738106250763,1.9911266565322876
0.10000000149011612,-0.899998128414154,2.0140535831451416
0.10499999672174454,-0.1702922284603119,2.0365312099456787
0.10999999940395355,-0.3594454228878021,2.0594584941864014
0.11500000208616257,-0.312384694814682,2.0837342739105225
0.11999999731779099,0.07426570355892181,2.1044135093688965
0.125,-0.5318220257759094,2.1161017417907715
0.12999999523162842,-0.12274309992790222,2.1259920597076416
0.13500000536441803,-0.21491730213165283,2.136331796646118
0.14000000059604645,-0.12584629654884338,2.1430749893188477
0.14499999582767487,-0.14116649329662323,2.149818181991577
0.15000000596046448,-0.12064656615257263,2.1565616130828857
0.1550000011920929,-0.11210484057664871,2.1597084999084473
0.1599999964237213,-0.22357991337776184,2.157910108566284
0.16500000655651093,-0.31973230838775635,2.1511669158935547
0.17000000178813934,-0.49827373027801514,2.143524408340454
0.17499999701976776,-0.38094067573547363,2.134533405303955
0.18000000715255737,-0.8112608790397644,2.124643325805664
0.1850000023841858,-0.5376809239387512,2.114753246307373
0.1899999976158142,-0.9306834936141968,2.1017162799835205
0.19499999284744263,-0.6653791069984436,2.084183692932129
0.20000000298023224,-0.8359679579734802,2.063504457473755
0.20499999821186066,-1.3245688676834106,2.0401275157928467
0.20999999344348907,-0.9330785870552063,2.014503240585327
0.2150000035762787,-1.288788080215454,1.99202561378479
0.2199999988079071,-1.6247979402542114,1.9686490297317505
0.22499999403953552,-1.4552910327911377,1.938529133796692
0.23000000417232513,-1.7532942295074463,1.9057118892669678
0.23499999940395355,-1.968064785003662,1.8751424551010132
0.23999999463558197,-2.182706117630005,1.840527057647705
0.24500000476837158,-2.5579888820648193,1.802764654159546
0.25,-2.693471908569336,1.7645527124404907
0.2549999952316284,-2.95798659324646,1.724542498588562
0.25999999046325684,-2.7922537326812744,1.6804864406585693
0.26499998569488525,-2.9792468547821045,1.6323844194412231
0.27000001072883606,-3.306030750274658,1.582484245300293
0.2750000059604645,-4.2616353034973145,1.5370795726776123
0.2800000011920929,-4.038409233093262,1.4867297410964966
0.2849999964237213,-4.690101146697998,1.4359304904937744
0.28999999165534973,-5.1380743980407715,1.3878284692764282
0.29499998688697815,-5.276270866394043,1.339276909828186
0.30000001192092896,-5.07508659362793,1.2844315767288208
0.3050000071525574,-6.658791542053223,1.2282378673553467
0.3100000023841858,-4.655815601348877,1.174291729927063
0.3149999976158142,-6.798479080200195,1.1176482439041138
0.3199999928474426,-6.49774169921875,1.061004877090454
0.32499998807907104,-6.158401966094971,1.0075081586837769
0.33000001311302185,-6.921817779541016,0.9508647918701172
0.33500000834465027,-6.820163249969482,0.8928726315498352
0.3400000035762787,-6.65285062789917,0.8330823183059692
0.3449999988079071,-7.825284004211426,0.7714937329292297
0.3499999940395355,-7.492049694061279,0.710354745388031
0.35499998927116394,-8.392327308654785,0.650114893913269
0.36000001430511475,-8.443741798400879,0.5916731953620911
0.36500000953674316,-9.691461563110352,0.5390756726264954
0.3700000047683716,-8.975723266601562,0.48243218660354614
0.375,-9.417637825012207,0.4221923351287842
0.3799999952316284,-9.281007766723633,0.364200234413147
